Date,Open,Close
2014-01-27,1, 1
2014-02-09,1, 1
2014-02-25,1, 1
2014-02-28,1, 1
2014-03-04,1, 1
2014-03-06,1, 1
2014-03-13,1, 1
2014-03-04,1, 1
2014-03-19,1, 1
2014-03-20,1, 1
2014-04-06,1, 1
2014-04-16,1, 1
2014-05-12,1, 1
2014-06-01,1, 1
2014-06-06,1, 1
2014-06-10,1, 1
2014-06-12,1, 1
2014-06-20,1, 1
2014-06-23,1, 1
2014-07-01,1, 1
2014-07-14,1, 1
2014-07-15,1, 1
2014-07-17,1, 1
2014-07-18,1, 1
2014-08-14,1, 1
2014-08-21,1, 1
2014-09-26,1, 1
2014-10-10,1, 1
2014-11-04,1, 1
2014-12-21,1, 1
2014-12-28,1, 1
